import time: self [us] | cumulative | imported package
import time:       180 |        180 |   _io
import time:        33 |         33 |   marshal
import time:       181 |        181 |   posix
import time:       484 |        877 | _frozen_importlib_external
import time:       497 |        497 |   time
import time:       183 |        679 | zipimport
import time:        36 |         36 |     _codecs
import time:       430 |        466 |   codecs
import time:       394 |        394 |   encodings.aliases
import time:       597 |       1456 | encodings
import time:       160 |        160 | encodings.utf_8
import time:        89 |         89 | _signal
import time:        26 |         26 |     _abc
import time:       140 |        166 |   abc
import time:       143 |        308 | io
import time:        50 |         50 |       _stat
import time:       124 |        174 |     stat
import time:       867 |        867 |     _collections_abc
import time:        43 |         43 |       errno
import time:        69 |         69 |       genericpath
import time:       133 |        243 |     posixpath
import time:       508 |       1791 |   os
import time:        74 |         74 |   _sitebuiltins
import time:       222 |        222 |   encodings.utf_8_sig
import time:       958 |        958 |   _distutils_hack
import time:       204 |        204 |   types
import time:       114 |        114 |     importlib
import time:       165 |        165 |     importlib._abc
import time:       113 |        391 |   importlib.util
import time:        31 |         31 |   importlib.machinery
import time:       117 |        117 |   sitecustomize
import time:        87 |         87 |   usercustomize
import time:      1944 |       5815 | site
import time:       236 |        236 | linecache
import time:       264 |        264 |   __future__
import time:       366 |        366 |   warnings
import time:       277 |        277 |             itertools
import time:       123 |        123 |             keyword
import time:        49 |         49 |               _operator
import time:       221 |        269 |             operator
import time:       160 |        160 |             reprlib
import time:        40 |         40 |             _collections
import time:       557 |       1424 |           collections
import time:        33 |         33 |           _functools
import time:       427 |       1883 |         functools
import time:       982 |       2865 |       enum
import time:       695 |        695 |         numpy._utils._convertions
import time:       600 |       1294 |       numpy._utils
import time:      1347 |       5505 |     numpy._globals
import time:       476 |        476 |     numpy._expired_attrs_2_0
import time:       444 |        444 |     numpy.version
import time:        19 |         19 |       numpy._distributor_init_local
import time:       523 |        541 |     numpy._distributor_init
import time:       534 |        534 |               numpy._utils._inspect
import time:      1629 |       1629 |                   _datetime
import time:       719 |       2347 |                 datetime
import time:       651 |        651 |                 math
import time:      1713 |       1713 |                 numpy.exceptions
import time:      1898 |       1898 |                 numpy._core._exceptions
import time:       426 |        426 |                     _contextvars
import time:       179 |        605 |                   contextvars
import time:      1398 |       2002 |                 numpy._core.printoptions
import time:      1642 |       1642 |                 numpy.dtypes
import time:    350623 |     360873 |               numpy._core._multiarray_umath
import time:       738 |     362145 |             numpy._core.overrides
import time:       994 |     363139 |           numpy._core.multiarray
import time:      1577 |       1577 |           numpy._core.umath
import time:       869 |        869 |             numbers
import time:      4165 |       4165 |             numpy._core._string_helpers
import time:      4182 |       4182 |             numpy._core._type_aliases
import time:      1669 |       1669 |             numpy._core._dtype
import time:      9846 |      20729 |           numpy._core.numerictypes
import time:       269 |        269 |                     copyreg
import time:       703 |        703 |                       _struct
import time:       161 |        864 |                     struct
import time:        59 |         59 |                         _sre
import time:       482 |        482 |                           re._constants
import time:       366 |        847 |                         re._parser
import time:       134 |        134 |                         re._casefix
import time:       421 |       1460 |                       re._compiler
import time:       778 |       2237 |                     re
import time:      2304 |       2304 |                     _compat_pickle
import time:      3081 |       3081 |                     _pickle
import time:      2829 |      11582 |                   pickle
import time:       924 |        924 |                   contextlib
import time:       716 |        716 |                   numpy._core._ufunc_config
import time:      1554 |      14775 |                 numpy._core._methods
import time:      3281 |      18055 |               numpy._core.fromnumeric
import time:      3324 |      21379 |             numpy._core.shape_base
import time:      1564 |       1564 |             numpy._core.arrayprint
import time:      1033 |       1033 |             numpy._core._asarray
import time:      1502 |      25476 |           numpy._core.numeric
import time:      4119 |       4119 |           numpy._core.records
import time:      5846 |       5846 |           numpy._core.memmap
import time:      2701 |       2701 |           numpy._core.function_base
import time:       536 |        536 |           numpy._core._machar
import time:       747 |        747 |           numpy._core.getlimits
import time:      1036 |       1036 |           numpy._core.einsumfunc
import time:      2397 |       2397 |           numpy._core._add_newdocs
import time:       651 |        651 |           numpy._core._add_newdocs_scalars
